annee;mois;date;jourSemaine;semaine;identifiantLigne;nomCourtLigne;typeLigne;categorieLigne;Frequentation
2023;Juin;2023-06-22;Jeudi;26;74;74;Métropolitaine;Régulières Métropolitaines;1128.23529
2023;Juin;2023-06-22;Jeudi;26;78;78;Métropolitaine;Régulières Métropolitaines;1330.58824
2023;Juin;2023-06-22;Jeudi;26;82;82;Métropolitaine;Régulières Métropolitaines;245.88235
2023;Juin;2023-06-22;Jeudi;26;83;83;Métropolitaine;Régulières Métropolitaines;661.17647
2023;Juin;2023-06-22;Jeudi;26;153;153ex;Express;Régulières Métropolitaines;242.35294
2023;Juin;2023-06-22;Jeudi;26;155;155ex;Express;Régulières Métropolitaines;229.41176
2023;Juin;2023-06-22;Jeudi;26;156;156ex;Express;Régulières Métropolitaines;69.41176
2023;Juin;2023-06-22;Jeudi;26;164;164ex;Express;Régulières Métropolitaines;129.41176
2023;Juin;2023-06-22;Jeudi;26;1002;b;Métro;METRO;73852.26525
2023;Juin;2023-06-22;Jeudi;26;9999;9999;Non identifié;Non identifiée;3582.35294
2023;Juin;2023-06-23;Vendredi;26;3;C3;CHRONOSTAR;CHRONOSTAR;8354.11765
2023;Juin;2023-06-23;Vendredi;26;34;34;Inter-quartiers;Régulières Urbaines;663.52941
2023;Juin;2023-06-23;Vendredi;26;51;51;Métropolitaine;Régulières Métropolitaines;1400.0
2023;Juin;2023-06-23;Vendredi;26;53;53;Métropolitaine;Régulières Métropolitaines;2434.11765
2023;Juin;2023-06-23;Vendredi;26;59;59;Métropolitaine;Régulières Métropolitaines;1603.52941
2023;Juin;2023-06-23;Vendredi;26;68;68;Métropolitaine;Régulières Métropolitaines;845.88235
2023;Juin;2023-06-23;Vendredi;26;72;72;Métropolitaine;Régulières Métropolitaines;1967.05882
2023;Juin;2023-06-23;Vendredi;26;75;75;Métropolitaine;Régulières Métropolitaines;645.88235
2023;Juin;2023-06-23;Vendredi;26;121;N1;STAR de Nuit;Régulières Urbaines;75.29412
2023;Juin;2023-06-23;Vendredi;26;159;159ex;Express;Régulières Métropolitaines;140.0
2023;Juin;2023-06-23;Vendredi;26;178;178ex;Express;Régulières Métropolitaines;98.82353
2023;Juin;2023-06-23;Vendredi;26;1002;b;Métro;METRO;63636.74448
2023;Juin;2023-06-23;Vendredi;26;9000;Parcs-Relais;Parcs-Relais;Parcs-Relais;3273.62229
2023;Juin;2023-06-24;Samedi;26;2;C2;CHRONOSTAR;CHRONOSTAR;6810.58824
